disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
NHT5012-15;2;60;84;64;20
NHZ1003-15;1;40;11;11;0
NHZ1016-15;1;30;30;29;0
NHZ1027-15;2;60;65;56;6
NHZ1051-13;1;30;33;32;0
NHZ1078-15;2;60;65;51;11
NHZ1081-13;2;60;47;53;0
NHZ2018-11;1;30;7;6;0
NHZ2057-11;1;40;19;26;0
NHZ2071-18;2;80;29;45;0
NHZ2093-16;1;40;66;64;0
NHZ2094-16;1;30;22;30;0
NHZ2107-18;2;80;16;17;0
NHZ2108-18;2;80;30;42;0
NHZ2124-18;2;80;5;0;5
NHZ2135-18;1;40;6;7;0
NHZ3020-15;1;30;9;9;0
NHZ3024-15;1;30;7;10;0
NHZ3043-15;1;30;41;30;11
NHZ3053-15;1;30;6;4;0
NHZ3075-15;1;30;2;2;0
NHZ3096-22;1;30;16;16;0
NHZ4038-15;1;30;11;11;0
NHZ4042-09;1;40;12;14;0
NHZ4062-15;1;30;139;90;49
NHZ4070-15;1;30;3;0;3
NHZ4075-20;1;40;47;47;0
NHZ4081-20;1;40;114;40;74
NHZ5016-15;6;220;150;214;0
NHZ5017-15;2;60;169;54;0
NHZ5019-15;6;220;125;202;0
NHZ6004-18;2;60;24;27;0
NHZ6014-18;2;48;6;6;0
NHZ6016-18;2;60;70;60;11
ESHT025-17;2;76;122;82;39
MCZC003-15;2;120;110;105;16
MCTB025-13;1;30;0;0;0
ESZE113-17;1;30;14;14;0
ESZU016-17;1;60;60;60;0
NHBF149-22;1;30;27;27;0
ESZE073-17;1;30;6;6;0
ESZE010-17;1;30;9;9;0
